"time","pdcsap_flux","pdcsap_flux_arma"
1453.87300612777,1552.9528,1552.9528
1453.87439501249,1553.0121,1553.0121
1453.87578389724,1553.8547,1553.8547
1453.87717278196,1553.6927,1553.6927
1453.8785616667,1567.4194,1567.4194
1453.87995055142,1562.7476,1562.7476
1453.88133943617,1540.9919,1540.9919
1453.88272832089,1555.29,1555.29
1453.88411720564,1555.3787,1555.3787
1453.88550609036,1552.7456,1552.7456
1453.88689497511,1560.5852,1560.5852
1453.88828385983,1547.2227,1547.2227
1453.88967274458,1541.8273,1541.8273
1453.89106162932,1552.8013,1552.8013
1453.89245051404,1555.827,1555.827
1453.89383939879,1562.4365,1562.4365
1453.89522828351,1547.8611,1547.8611
1453.89661716826,1547.1022,1547.1022
1453.89800605301,1562.1412,1562.1412
1453.89939493773,1560.2142,1560.2142
1453.90078382248,1568.259,1568.259
1453.90217270722,1560.3901,1560.3901
1453.90356159194,1564.9698,1564.9698
1453.90495047669,1549.5825,1549.5825
1453.90633936144,1555.6307,1555.6307
1453.90772824619,1546.5122,1546.5122
1453.90911713091,1553.3005,1553.3005
1453.91050601566,1559.1136,1559.1136
1453.9118949004,1561.3967,1561.3967
1453.91328378515,1559.9183,1559.9183
1453.91467266987,1573.6815,1573.6815
1453.91606155462,1560.1501,1560.1501
1453.91745043937,1555.7137,1555.7137
1453.91883932412,1561.0977,1561.0977
1453.92022820887,1563.3735,1563.3735
1453.92161709359,1565.0814,1565.0814
1453.92300597833,1562.895,1562.895
1453.92439486308,1568.2039,1568.2039
1453.92578374783,1573.6805,1573.6805
1453.92717263258,1564.1049,1564.1049
1453.92856151733,1574.4507,1574.4507
1453.92995040208,1564.7963,1564.7963
1453.93133928682,1561.9576,1561.9576
1453.93272817157,1556.0864,1556.0864
1453.93411705632,1565.7207,1565.7207
1453.93550594107,1559.0912,1559.0912
1453.93689482582,1565.0334,1565.0334
1453.93828371057,1576.3976,1576.3976
1453.93967259531,1566.8411,1566.8411
1453.94106148006,1574.6067,1574.6067
1453.94245036481,1580.6979,1580.6979
1453.94383924956,1556.7886,1556.7886
1453.94522813431,1566.5347,1566.5347
1453.94661701906,1557.7357,1557.7357
1453.9480059038,1562.4805,1562.4805
1453.94939478855,1562.106,1562.106
1453.9507836733,1572.1847,1572.1847
1453.95217255805,1574.545,1574.545
1453.95356144283,1572.0579,1572.0579
1453.95495032758,1571.4677,1571.4677
1453.95633921232,1570.6738,1570.6738
1453.95772809707,1587.8774,1587.8774
1453.95911698182,1579.4532,1579.4532
1453.96050586657,1571.8798,1571.8798
1453.96189475135,1583.8778,1583.8778
1453.96328363609,1578.6981,1578.6981
1453.96467252084,1568.9287,1568.9287
1453.96606140559,1583.3469,1583.3469
1453.96745029037,1579.1847,1579.1847
1453.96883917512,1575.6283,1575.6283
1453.97022805987,1573.108,1573.108
1453.97161694461,1576.5601,1576.5601
1453.97300582939,1566.3215,1566.3215
1453.97439471414,1561.4154,1561.4154
1453.97578359889,1577.8756,1577.8756
1453.97717248367,1561.0308,1561.0308
1453.97856136841,1585.9393,1585.9393
1453.97995025316,1570.4198,1570.4198
1453.98133913794,1572.338,1572.338
1453.98272802269,1559.7869,1559.7869
1453.98411690744,1564.9349,1564.9349
1453.98550579222,1579.2721,1579.2721
1453.98689467696,1578.3142,1578.3142
1453.98828356174,1555.6526,1555.6526
1453.98967244649,1566.0988,1566.0988
1453.99106133127,1570.2455,1570.2455
1453.99245021601,1569.9469,1569.9469
1453.99383910079,1571.4648,1571.4648
1453.99522798554,1553.3873,1553.3873
1453.99661687029,1566.3827,1566.3827
1453.99800575507,1571.4729,1571.4729
1453.99939463984,1574.1566,1574.1566
1454.00078352459,1571.3317,1571.3317
1454.00217240937,1567.4705,1567.4705
1454.00356129412,1570.073,1570.073
1454.0049501789,1571.8253,1571.8253
1454.00633906364,1567.1814,1567.1814
1454.00772794842,1567.947,1567.947
1454.00911683317,1573.8134,1573.8134
1454.01050571795,1565.6541,1565.6541
1454.01189460273,1568.2756,1568.2756
1454.01328348747,1567.4209,1567.4209
1454.01467237225,1549.5247,1549.5247
1454.01606125703,1567.3168,1567.3168
1454.01745014178,1564.8552,1564.8552
1454.01883902655,1557.8114,1557.8114
1454.02022791133,1563.25,1563.25
1454.02161679608,1566.7139,1566.7139
1454.02300568086,1566.6162,1566.6162
1454.02439456564,1567.7325,1567.7325
1454.02578345038,1556.679,1556.679
1454.02717233516,1558.7975,1558.7975
1454.02856121994,1560.2913,1560.2913
1454.02995010472,1552.0123,1552.0123
1454.03133898949,1557.5758,1557.5758
1454.03272787424,1559.0312,1559.0312
1454.03411675902,1557.6001,1557.6001
1454.0355056438,1560.7057,1560.7057
1454.03689452857,1553.2336,1553.2336
1454.03828341335,1550.7253,1550.7253
1454.0396722981,1557.4438,1557.4438
1454.04106118288,1569.309,1569.309
1454.04245006765,1565.7076,1565.7076
1454.04383895243,1549.0586,1549.0586
1454.04522783721,1568.3344,1568.3344
1454.04661672199,1557.8799,1557.8799
1454.04800560676,1563.0698,1563.0698
1454.04939449154,1543.0461,1543.0461
1454.05078337632,1547.9612,1547.9612
1454.05217226107,1570.0803,1570.0803
1454.05356114585,1553.7914,1553.7914
1454.05495003062,1554.605,1554.605
1454.0563389154,1555.1019,1555.1019
1454.05772780018,1553.5891,1553.5891
1454.05911668496,1554.6088,1554.6088
1454.06050556973,1550.2493,1550.2493
1454.06189445451,1539.6718,1539.6718
1454.06328333929,1557.5438,1557.5438
1454.06467222407,1558.2578,1558.2578
1454.06606110884,1566.7465,1566.7465
1454.06744999365,1556.0529,1556.0529
1454.06883887843,1556.4772,1556.4772
1454.07022776321,1556.0519,1556.0519
1454.07161664798,1550.2404,1550.2404
1454.07300553276,1560.145,1560.145
1454.07439441754,1564.4033,1564.4033
1454.07578330231,1559.1447,1559.1447
1454.07717218709,1546.9594,1546.9594
1454.07856107187,1557.931,1557.931
1454.07994995665,1557.8474,1557.8474
1454.08133884145,1553.9821,1553.9821
1454.08272772623,1554.1573,1554.1573
1454.08411661101,1568.7617,1568.7617
1454.08550549579,1560.6024,1560.6024
1454.08689438056,1570.209,1570.209
1454.08828326537,1565.8411,1565.8411
1454.08967215015,1566.8949,1566.8949
1454.09106103493,1565.5529,1565.5529
1454.0924499197,1567.2832,1567.2832
1454.09383880451,1566.8955,1566.8955
1454.09522768929,1563.0078,1563.0078
1454.09661657406,1564.7675,1564.7675
1454.09800545884,1564.7124,1564.7124
1454.09939434365,1563.5673,1563.5673
1454.10078322843,1557.2631,1557.2631
1454.1021721132,1568.6077,1568.6077
1454.10356099801,1564.4446,1564.4446
1454.10494988279,1565.5215,1565.5215
1454.10633876757,1570.7808,1570.7808
1454.10772765237,1577.0272,1577.0272
1454.10911653715,1567.766,1567.766
1454.11050542193,1573.6375,1573.6375
1454.11189430673,1579.5975,1579.5975
1454.11328319151,1563.4385,1563.4385
1454.11467207632,1570.8877,1570.8877
1454.1160609611,1575.8051,1575.8051
1454.1174498459,1568.2878,1568.2878
1454.11883873068,1566.9515,1566.9515
1454.12022761546,1564.5056,1564.5056
1454.12161650026,1579.8066,1579.8066
1454.12300538504,1564.5441,1564.5441
1454.12439426985,1563.0837,1563.0837
1454.12578315463,1579.9355,1579.9355
1454.12717203943,1580.2086,1580.2086
1454.12856092421,1569.913,1569.913
1454.12994980902,1572.7928,1572.7928
1454.13133869379,1583.5786,1583.5786
1454.1327275786,1571.1899,1571.1899
1454.13411646338,1578.135,1578.135
1454.13550534818,1579.6635,1579.6635
1454.13689423299,1563.9064,1563.9064
1454.13828311777,1566.9794,1566.9794
1454.13967200258,1577.03,1577.03
1454.14106088735,1575.6354,1575.6354
1454.14244977216,1566.1942,1566.1942
1454.14383865697,1568.6119,1568.6119
1454.14522754174,1569.6515,1569.6515
1454.14661642655,1561.2903,1561.2903
1454.14800531136,1556.0524,1556.0524
1454.14939419613,1577.7926,1577.7926
1454.15078308094,1570.2867,1570.2867
1454.15217196572,1567.2184,1567.2184
1454.15356085052,1572.927,1572.927
1454.15494973533,1561.859,1561.859
1454.15633862014,1571.7664,1571.7664
1454.15772750491,1571.4625,1571.4625
1454.15911638972,1572.4576,1572.4576
1454.16050527453,1564.4758,1564.4758
1454.16189415934,1553.2991,1553.2991
1454.16328304411,1568.209,1568.209
1454.16467192892,1573.0402,1573.0402
1454.16606081373,1571.6315,1571.6315
1454.16744969853,1574.1068,1574.1068
1454.16883858331,1569.6406,1569.6406
1454.17022746812,1557.6486,1557.6486
1454.17161635292,1549.5607,1549.5607
1454.17300523773,1570.3204,1570.3204
1454.17439412254,1568.0797,1568.0797
1454.17578300734,1577.4391,1577.4391
1454.17717189212,1558.2941,1558.2941
1454.17856077693,1565.8954,1565.8954
1454.17994966173,1552.1812,1552.1812
1454.18133854654,1555.4137,1555.4137
1454.18272743135,1565.347,1565.347
1454.18411631615,1564.1478,1564.1478
1454.18550520096,1569.618,1569.618
1454.18689408577,1561.8561,1561.8561
1454.18828297057,1556.2025,1556.2025
1454.18967185538,1559.7482,1559.7482
1454.19106074016,1560.2112,1560.2112
1454.19244962496,1562.6179,1562.6179
1454.19383850977,1561.0238,1561.0238
1454.19522739458,1570.4481,1570.4481
1454.19661627938,1562.6389,1562.6389
1454.19800516419,1555.3459,1555.3459
1454.199394049,1553.5469,1553.5469
1454.2007829338,1550.1659,1550.1659
1454.20217181861,1562.5902,1562.5902
1454.20356070342,1550.095,1550.095
1454.20494958822,1562.7834,1562.7834
1454.20633847306,1555.8854,1555.8854
1454.20772735787,1545.2562,1545.2562
1454.20911624267,1565.7047,1565.7047
1454.21050512748,1562.5327,1562.5327
1454.21189401228,1554.6737,1554.6737
1454.21328289709,1551.125,1551.125
1454.2146717819,1572.1646,1572.1646
1454.2160606667,1561.897,1561.897
1454.21744955151,1543.8534,1543.8534
1454.21883843632,1560.9784,1560.9784
1454.22022732115,1557.1488,1557.1488
1454.22161620596,1562.726,1562.726
1454.22300509077,1559.2654,1559.2654
1454.22439397557,1550.7949,1550.7949
1454.22578286038,1554.4558,1554.4558
1454.22717174519,1560.2344,1560.2344
1454.22856063002,1544.1199,1544.1199
1454.22994951483,1539.4597,1539.4597
1454.23133839964,1560.2942,1560.2942
1454.23272728444,1553.4406,1553.4406
